LexToken(VAR,'var',1,0)
LexToken(ID,'number',1,4)
LexToken(ASSIGN,'=',1,11)
LexToken(NUMBER,4,1,13)
LexToken(WHEN,'when',2,15)
LexToken(LPAREN,'(',2,19)
LexToken(ID,'number',2,20)
LexToken(RPAREN,')',2,26)
LexToken(LBRACE,'{',2,27)
LexToken(NUMBER,1,3,33)
LexToken(ARROW,'->',3,35)
LexToken(ID,'println',3,38)
LexToken(LPAREN,'(',3,45)
LexToken(STRING,'Monday',3,46)
LexToken(RPAREN,')',3,54)
LexToken(NUMBER,2,4,60)
LexToken(ARROW,'->',4,62)
LexToken(ID,'println',4,65)
LexToken(LPAREN,'(',4,72)
LexToken(STRING,'Thursday',4,73)
LexToken(RPAREN,')',4,83)
LexToken(NUMBER,3,5,89)
LexToken(ARROW,'->',5,91)
LexToken(ID,'println',5,94)
LexToken(LPAREN,'(',5,101)
LexToken(STRING,'Wednesay',5,102)
LexToken(RPAREN,')',5,112)
LexToken(NUMBER,4,6,118)
LexToken(ARROW,'->',6,120)
LexToken(ID,'println',6,123)
LexToken(LPAREN,'(',6,130)
LexToken(STRING,'Tuesday',6,131)
LexToken(RPAREN,')',6,140)
LexToken(NUMBER,5,7,146)
LexToken(ARROW,'->',7,148)
LexToken(ID,'println',7,151)
LexToken(LPAREN,'(',7,158)
LexToken(STRING,'Friday',7,159)
LexToken(RPAREN,')',7,167)
LexToken(NUMBER,6,8,173)
LexToken(ARROW,'->',8,175)
LexToken(ID,'println',8,178)
LexToken(LPAREN,'(',8,185)
LexToken(STRING,'Saturday',8,186)
LexToken(RPAREN,')',8,196)
LexToken(NUMBER,7,9,202)
LexToken(ARROW,'->',9,204)
LexToken(ID,'println',9,207)
LexToken(LPAREN,'(',9,214)
LexToken(STRING,'Sunday',9,215)
LexToken(RPAREN,')',9,223)
LexToken(RBRACE,'}',10,225)
