LexToken(FUN,'fun',3,23)
LexToken(ID,'main',3,27)
LexToken(LPAREN,'(',3,31)
LexToken(RPAREN,')',3,32)
LexToken(LBRACE,'{',3,34)
LexToken(VAR,'var',5,99)
LexToken(ID,'x',5,103)
LexToken(ASSIGN,'=',5,105)
LexToken(DOUBLE,10.8,5,107)
LexToken(VAL,'val',6,116)
LexToken(ID,'y',6,120)
LexToken(ASSIGN,'=',6,122)
LexToken(DOUBLE,20.8,6,124)
LexToken(ID,'f',6,128)
LexToken(VAR,'var',7,134)
LexToken(ID,'result',7,138)
LexToken(ASSIGN,'=',7,145)
LexToken(NUMBER,0,7,147)
LexToken(ID,'result',9,154)
LexToken(ASSIGN,'=',9,161)
LexToken(ID,'x',9,163)
LexToken(PLUS,'+',9,165)
LexToken(ID,'y',9,167)
LexToken(ID,'println',10,173)
LexToken(LPAREN,'(',10,180)
LexToken(ID,'result',10,181)
LexToken(RPAREN,')',10,187)
LexToken(ID,'result',12,194)
LexToken(ASSIGN,'=',12,201)
LexToken(ID,'x',12,203)
LexToken(MINUS,'-',12,205)
LexToken(ID,'y',12,207)
LexToken(ID,'println',13,213)
LexToken(LPAREN,'(',13,220)
LexToken(ID,'result',13,221)
LexToken(RPAREN,')',13,227)
LexToken(ID,'result',15,234)
LexToken(ASSIGN,'=',15,241)
LexToken(ID,'x',15,243)
LexToken(TIMES,'*',15,245)
LexToken(ID,'y',15,247)
LexToken(ID,'println',16,253)
LexToken(LPAREN,'(',16,260)
LexToken(ID,'result',16,261)
LexToken(RPAREN,')',16,267)
LexToken(ID,'result',18,274)
LexToken(ASSIGN,'=',18,281)
LexToken(ID,'y',18,283)
LexToken(DIVIDE,'/',18,285)
LexToken(ID,'x',18,287)
LexToken(ID,'println',19,293)
LexToken(LPAREN,'(',19,300)
LexToken(ID,'result',19,301)
LexToken(RPAREN,')',19,307)
LexToken(FOR,'for',22,331)
LexToken(LPAREN,'(',22,335)
LexToken(ID,'i',22,336)
LexToken(IN,'in',22,338)
LexToken(NUMBER,1,22,341)
LexToken(RANGE,'..',22,342)
LexToken(NUMBER,5,22,344)
LexToken(RPAREN,')',22,345)
LexToken(LBRACE,'{',22,347)
LexToken(ID,'println',23,357)
LexToken(LPAREN,'(',23,364)
LexToken(ID,'i',23,365)
LexToken(RPAREN,')',23,366)
LexToken(RBRACE,'}',24,372)
LexToken(RBRACE,'}',25,374)
