LexToken(VAR,'var',2,13)
LexToken(ID,'result',2,17)
LexToken(ASSIGN,'=',2,24)
LexToken(NUMBER,0,2,26)
LexToken(FOR,'for',3,28)
LexToken(LPAREN,'(',3,32)
LexToken(ID,'i',3,33)
LexToken(IN,'in',3,35)
LexToken(NUMBER,1,3,38)
LexToken(RANGE,'..',3,39)
LexToken(NUMBER,60,3,41)
LexToken(RPAREN,')',3,43)
LexToken(LBRACE,'{',3,45)
LexToken(IF,'if',4,51)
LexToken(LPAREN,'(',4,53)
LexToken(ID,'i',4,54)
LexToken(MODULE,'%',4,56)
LexToken(NUMBER,2,4,58)
LexToken(EQEQ,'==',4,60)
LexToken(NUMBER,0,4,63)
LexToken(RPAREN,')',4,64)
LexToken(LBRACE,'{',4,66)
LexToken(ID,'result',5,76)
LexToken(ADDEQ,'+=',5,83)
LexToken(ID,'i',5,86)
LexToken(ID,'println',6,96)
LexToken(LPAREN,'(',6,103)
LexToken(ID,'i',6,104)
LexToken(RPAREN,')',6,105)
LexToken(RBRACE,'}',7,111)
LexToken(RBRACE,'}',8,113)
LexToken(ID,'println',10,116)
LexToken(LPAREN,'(',10,123)
LexToken(ID,'result',10,124)
LexToken(RPAREN,')',10,130)
LexToken(TRY,'try',12,133)
LexToken(ASSIGN,'=',12,137)
LexToken(NUMBER,0,12,139)
LexToken(WHILE,'while',13,141)
LexToken(LPAREN,'(',13,147)
LexToken(BOOLEAN,True,13,148)
LexToken(RPAREN,')',13,152)
LexToken(LBRACE,'{',13,154)
LexToken(TRY,'try',14,160)
LexToken(ADDEQ,'+=',14,164)
LexToken(NUMBER,2,14,167)
LexToken(ID,'println',15,173)
LexToken(LPAREN,'(',15,180)
LexToken(TRY,'try',15,181)
LexToken(RPAREN,')',15,184)
LexToken(IF,'if',17,191)
LexToken(LPAREN,'(',17,193)
LexToken(ID,'println',17,194)
LexToken(GT,'>',17,202)
LexToken(NUMBER,60,17,204)
LexToken(RPAREN,')',17,206)
LexToken(BREAK,'break',17,208)
LexToken(RBRACE,'}',18,214)
